Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział
48;100;10005;Produkcja soli;109002;48-100-10005;48-100;109.0 MLN;Produkcja soli 109.0 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Górnictwo i kopalnictwo
48;100;10095;Pozostała działalność;28299;48-100-10095;48-100;28.3 MLN;Pozostała działalność 28.3 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Górnictwo i kopalnictwo
48;150;;Przetwórstwo przemysłowe;460;48-150;48;0.5 MLN;Przetwórstwo przemysłowe 0.5 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Przetwórstwo przemysłowe
48;150;15095;Pozostała działalność;460;48-150-15095;48-150;0.5 MLN;Pozostała działalność 0.5 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Przetwórstwo przemysłowe
48;750;;Administracja publiczna;5828;48-750;48;5.8 MLN;Administracja publiczna 5.8 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Administracja publiczna
48;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;5828;48-750-75001;48-750;5.8 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 5.8 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Administracja publiczna
48;752;;Obrona narodowa;30;48-752;48;0.0 MLN;Obrona narodowa 0.0 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Obrona narodowa
48;752;75212;Pozostałe wydatki obronne;30;48-752-75212;48-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;GOSPODARKA ZŁOŻAMI KOPALIN;Obrona narodowa
49;;;URZĄD ZAMÓWIEŃ PUBLICZNYCH;51464;49;total;51.5 MLN;URZĄD ZAMÓWIEŃ PUBLICZNYCH 51.5 MLN;URZĄD ZAMÓWIEŃ PUBLICZNYCH;URZĄD ZAMÓWIEŃ PUBLICZNYCH
49;750;;Administracja publiczna;51464;49-750;49;51.5 MLN;Administracja publiczna 51.5 MLN;URZĄD ZAMÓWIEŃ PUBLICZNYCH;Administracja publiczna
49;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;51464;49-750-75001;49-750;51.5 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 51.5 MLN;URZĄD ZAMÓWIEŃ PUBLICZNYCH;Administracja publiczna
50;;;URZĄD REGULACJI ENERGETYKI;68158;50;total;68.2 MLN;URZĄD REGULACJI ENERGETYKI 68.2 MLN;URZĄD REGULACJI ENERGETYKI;URZĄD REGULACJI ENERGETYKI
50;750;;Administracja publiczna;68158;50-750;50;68.2 MLN;Administracja publiczna 68.2 MLN;URZĄD REGULACJI ENERGETYKI;Administracja publiczna
50;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;68158;50-750-75001;50-750;68.2 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 68.2 MLN;URZĄD REGULACJI ENERGETYKI;Administracja publiczna
51;;;KLIMAT;375473;51;total;375.5 MLN;KLIMAT 375.5 MLN;KLIMAT;KLIMAT
51;020;;Leśnictwo;4783;51-020;51;4.8 MLN;Leśnictwo 4.8 MLN;KLIMAT;Leśnictwo
51;020;02095;Pozostała działalność;4783;51-020-02095;51-020;4.8 MLN;Pozostała działalność 4.8 MLN;KLIMAT;Leśnictwo
51;750;;Administracja publiczna;101750;51-750;51;101.8 MLN;Administracja publiczna 101.8 MLN;KLIMAT;Administracja publiczna
51;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;101662;51-750-75001;51-750;101.7 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 101.7 MLN;KLIMAT;Administracja publiczna
51;750;75095;Pozostała działalność;88;51-750-75095;51-750;0.1 MLN;Pozostała działalność 0.1 MLN;KLIMAT;Administracja publiczna
51;752;;Obrona narodowa;50;51-752;51;0.1 MLN;Obrona narodowa 0.1 MLN;KLIMAT;Obrona narodowa
51;752;75212;Pozostałe wydatki obronne;50;51-752-75212;51-752;0.1 MLN;Pozostałe wydatki obronne 0.1 MLN;KLIMAT;Obrona narodowa
51;900;;Gospodarka komunalna i ochrona środowiska;268890;51-900;51;268.9 MLN;Gospodarka komunalna i ochrona środowiska 268.9 MLN;KLIMAT;Gospodarka komunalna i ochrona środowiska
51;900;90011;Fundusz Ochrony Środowiska i Gospodarki Wodnej;67148;51-900-90011;51-900;67.1 MLN;Fundusz Ochrony Środowiska i Gospodarki Wodnej 67.1 MLN;KLIMAT;Gospodarka komunalna i ochrona środowiska
51;900;90014;Inspekcja Ochrony Środowiska;201742;51-900-90014;51-900;201.7 MLN;Inspekcja Ochrony Środowiska 201.7 MLN;KLIMAT;Gospodarka komunalna i ochrona środowiska
53;;;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW;134026;53;total;134.0 MLN;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW 134.0 MLN;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW
53;750;;Administracja publiczna;134026;53-750;53;134.0 MLN;Administracja publiczna 134.0 MLN;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW;Administracja publiczna
53;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;132426;53-750-75001;53-750;132.4 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 132.4 MLN;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW;Administracja publiczna
53;750;75095;Pozostała działalność;1600;53-750-75095;53-750;1.6 MLN;Pozostała działalność 1.6 MLN;URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW;Administracja publiczna
54;;;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;164297;54;total;164.3 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH 164.3 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH
54;750;;Administracja publiczna;23334;54-750;54;23.3 MLN;Administracja publiczna 23.3 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Administracja publiczna
54;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;23334;54-750-75001;54-750;23.3 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 23.3 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Administracja publiczna
54;752;;Obrona narodowa;12;54-752;54;0.0 MLN;Obrona narodowa 0.0 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Obrona narodowa
54;752;75212;Pozostałe wydatki obronne;12;54-752-75212;54-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Obrona narodowa
54;851;;Ochrona zdrowia;81;54-851;54;0.1 MLN;Ochrona zdrowia 0.1 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Ochrona zdrowia
54;851;85156;Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego;81;54-851-85156;54-851;0.1 MLN;Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego 0.1 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Ochrona zdrowia
54;853;;Pozostałe zadania w zakresie polityki społecznej;140870;54-853;54;140.9 MLN;Pozostałe zadania w zakresie polityki społecznej 140.9 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Pozostałe zadania w zakresie polityki społecznej
54;853;85323;Państwowy Fundusz Kombatantów;33946;54-853-85323;54-853;33.9 MLN;Państwowy Fundusz Kombatantów 33.9 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Pozostałe zadania w zakresie polityki społecznej
54;853;85395;Pozostała działalność;106924;54-853-85395;54-853;106.9 MLN;Pozostała działalność 106.9 MLN;URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH;Pozostałe zadania w zakresie polityki społecznej
55;;;AKTYWA PAŃSTWOWE;93059;55;total;93.1 MLN;AKTYWA PAŃSTWOWE 93.1 MLN;AKTYWA PAŃSTWOWE;AKTYWA PAŃSTWOWE
55;750;;Administracja publiczna;93049;55-750;55;93.0 MLN;Administracja publiczna 93.0 MLN;AKTYWA PAŃSTWOWE;Administracja publiczna
55;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;93049;55-750-75001;55-750;93.0 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 93.0 MLN;AKTYWA PAŃSTWOWE;Administracja publiczna
55;752;;Obrona narodowa;10;55-752;55;0.0 MLN;Obrona narodowa 0.0 MLN;AKTYWA PAŃSTWOWE;Obrona narodowa
55;752;75212;Pozostałe wydatki obronne;10;55-752-75212;55-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;AKTYWA PAŃSTWOWE;Obrona narodowa
56;;;CENTRALNE BIURO ANTYKORUPCYJNE;263213;56;total;263.2 MLN;CENTRALNE BIURO ANTYKORUPCYJNE 263.2 MLN;CENTRALNE BIURO ANTYKORUPCYJNE;CENTRALNE BIURO ANTYKORUPCYJNE
56;752;;Obrona narodowa;40;56-752;56;0.0 MLN;Obrona narodowa 0.0 MLN;CENTRALNE BIURO ANTYKORUPCYJNE;Obrona narodowa
56;752;75212;Pozostałe wydatki obronne;40;56-752-75212;56-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;CENTRALNE BIURO ANTYKORUPCYJNE;Obrona narodowa
56;754;;Bezpieczeństwo publiczne i ochrona przeciwpożarowa;263173;56-754;56;263.2 MLN;Bezpieczeństwo publiczne i ochrona przeciwpożarowa 263.2 MLN;CENTRALNE BIURO ANTYKORUPCYJNE;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
56;754;75420;Centralne Biuro Antykorupcyjne;263173;56-754-75420;56-754;263.2 MLN;Centralne Biuro Antykorupcyjne 263.2 MLN;CENTRALNE BIURO ANTYKORUPCYJNE;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
57;;;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;710356;57;total;710.4 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO 710.4 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO
57;752;;Obrona narodowa;4;57-752;57;0.0 MLN;Obrona narodowa 0.0 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;Obrona narodowa
57;752;75212;Pozostałe wydatki obronne;4;57-752-75212;57-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;Obrona narodowa
57;754;;Bezpieczeństwo publiczne i ochrona przeciwpożarowa;710352;57-754;57;710.4 MLN;Bezpieczeństwo publiczne i ochrona przeciwpożarowa 710.4 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
57;754;75418;Agencja Bezpieczeństwa Wewnętrznego;710352;57-754-75418;57-754;710.4 MLN;Agencja Bezpieczeństwa Wewnętrznego 710.4 MLN;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
58;;;GŁÓWNY URZĄD STATYSTYCZNY;571860;58;total;571.9 MLN;GŁÓWNY URZĄD STATYSTYCZNY 571.9 MLN;GŁÓWNY URZĄD STATYSTYCZNY;GŁÓWNY URZĄD STATYSTYCZNY
58;150;;Przetwórstwo przemysłowe;12682;58-150;58;12.7 MLN;Przetwórstwo przemysłowe 12.7 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Przetwórstwo przemysłowe
58;150;15001;Drukarnie;12682;58-150-15001;58-150;12.7 MLN;Drukarnie 12.7 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Przetwórstwo przemysłowe
58;720;;Informatyka;31836;58-720;58;31.8 MLN;Informatyka 31.8 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Informatyka
58;720;72001;Działalność Centrum Informatyki Statystycznej;31836;58-720-72001;58-720;31.8 MLN;Działalność Centrum Informatyki Statystycznej 31.8 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Informatyka
58;750;;Administracja publiczna;527328;58-750;58;527.3 MLN;Administracja publiczna 527.3 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Administracja publiczna
58;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;117151;58-750-75001;58-750;117.2 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 117.2 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Administracja publiczna
58;750;75007;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej;389831;58-750-75007;58-750;389.8 MLN;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej 389.8 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Administracja publiczna
58;750;75056;Spis powszechny i inne;18454;58-750-75056;58-750;18.5 MLN;Spis powszechny i inne 18.5 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Administracja publiczna
58;750;75095;Pozostała działalność;1892;58-750-75095;58-750;1.9 MLN;Pozostała działalność 1.9 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Administracja publiczna
58;752;;Obrona narodowa;14;58-752;58;0.0 MLN;Obrona narodowa 0.0 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Obrona narodowa
58;752;75212;Pozostałe wydatki obronne;14;58-752-75212;58-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;GŁÓWNY URZĄD STATYSTYCZNY;Obrona narodowa
59;;;AGENCJA WYWIADU;298121;59;total;298.1 MLN;AGENCJA WYWIADU 298.1 MLN;AGENCJA WYWIADU;AGENCJA WYWIADU
59;754;;Bezpieczeństwo publiczne i ochrona przeciwpożarowa;298121;59-754;59;298.1 MLN;Bezpieczeństwo publiczne i ochrona przeciwpożarowa 298.1 MLN;AGENCJA WYWIADU;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
59;754;75419;Agencja Wywiadu;298121;59-754-75419;59-754;298.1 MLN;Agencja Wywiadu 298.1 MLN;AGENCJA WYWIADU;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
60;;;WYŻSZY URZĄD GÓRNICZY;75528;60;total;75.5 MLN;WYŻSZY URZĄD GÓRNICZY 75.5 MLN;WYŻSZY URZĄD GÓRNICZY;WYŻSZY URZĄD GÓRNICZY
60;750;;Administracja publiczna;75528;60-750;60;75.5 MLN;Administracja publiczna 75.5 MLN;WYŻSZY URZĄD GÓRNICZY;Administracja publiczna
60;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;33976;60-750-75001;60-750;34.0 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 34.0 MLN;WYŻSZY URZĄD GÓRNICZY;Administracja publiczna
60;750;75007;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej;41552;60-750-75007;60-750;41.6 MLN;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej 41.6 MLN;WYŻSZY URZĄD GÓRNICZY;Administracja publiczna
61;;;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;82827;61;total;82.8 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ 82.8 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ
61;750;;Administracja publiczna;82822;61-750;61;82.8 MLN;Administracja publiczna 82.8 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;Administracja publiczna
61;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;82822;61-750-75001;61-750;82.8 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 82.8 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;Administracja publiczna
61;752;;Obrona narodowa;5;61-752;61;0.0 MLN;Obrona narodowa 0.0 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;Obrona narodowa
61;752;75212;Pozostałe wydatki obronne;5;61-752-75212;61-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ;Obrona narodowa
62;;;RYBOŁÓWSTWO;192894;62;total;192.9 MLN;RYBOŁÓWSTWO 192.9 MLN;RYBOŁÓWSTWO;RYBOŁÓWSTWO
62;010;;Rolnictwo i łowiectwo;8100;62-010;62;8.1 MLN;Rolnictwo i łowiectwo 8.1 MLN;RYBOŁÓWSTWO;Rolnictwo i łowiectwo
62;010;01027;Agencja Restrukturyzacji i Modernizacji Rolnictwa;8100;62-010-01027;62-010;8.1 MLN;Agencja Restrukturyzacji i Modernizacji Rolnictwa 8.1 MLN;RYBOŁÓWSTWO;Rolnictwo i łowiectwo
62;050;;Rybołówstwo i rybactwo;154706;62-050;62;154.7 MLN;Rybołówstwo i rybactwo 154.7 MLN;RYBOŁÓWSTWO;Rybołówstwo i rybactwo
62;050;05004;Główny Inspektorat Rybołówstwa Morskiego;14421;62-050-05004;62-050;14.4 MLN;Główny Inspektorat Rybołówstwa Morskiego 14.4 MLN;RYBOŁÓWSTWO;Rybołówstwo i rybactwo
62;050;05006;Zarybianie polskich obszarów morskich;8500;62-050-05006;62-050;8.5 MLN;Zarybianie polskich obszarów morskich 8.5 MLN;RYBOŁÓWSTWO;Rybołówstwo i rybactwo
62;050;05011;Program Operacyjny Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007–2013, Program Operacyjny Rybactwo i Morze 2014–2020 oraz Program Fundusze Europejskie dla Rybactwa;122615;62-050-05011;62-050;122.6 MLN;Program Operacyjny Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007–2013, Program Operacyjny Rybactwo i Morze 2014–2020 oraz Program Fundusze Europejskie dla Rybactwa 122.6 MLN;RYBOŁÓWSTWO;Rybołówstwo i rybactwo
62;050;05095;Pozostała działalność;9170;62-050-05095;62-050;9.2 MLN;Pozostała działalność 9.2 MLN;RYBOŁÓWSTWO;Rybołówstwo i rybactwo
62;750;;Administracja publiczna;30080;62-750;62;30.1 MLN;Administracja publiczna 30.1 MLN;RYBOŁÓWSTWO;Administracja publiczna
62;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;30080;62-750-75001;62-750;30.1 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 30.1 MLN;RYBOŁÓWSTWO;Administracja publiczna
62;752;;Obrona narodowa;8;62-752;62;0.0 MLN;Obrona narodowa 0.0 MLN;RYBOŁÓWSTWO;Obrona narodowa
62;752;75212;Pozostałe wydatki obronne;8;62-752-75212;62-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;RYBOŁÓWSTWO;Obrona narodowa
63;;;RODZINA;59104;63;total;59.1 MLN;RODZINA 59.1 MLN;RODZINA;RODZINA
63;750;;Administracja publiczna;45511;63-750;63;45.5 MLN;Administracja publiczna 45.5 MLN;RODZINA;Administracja publiczna
63;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;23984;63-750-75001;63-750;24.0 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 24.0 MLN;RODZINA;Administracja publiczna
63;750;75080;Działalność badawczo-rozwojowa;23;63-750-75080;63-750;0.0 MLN;Działalność badawczo-rozwojowa 0.0 MLN;RODZINA;Administracja publiczna
63;750;75095;Pozostała działalność;21504;63-750-75095;63-750;21.5 MLN;Pozostała działalność 21.5 MLN;RODZINA;Administracja publiczna
63;752;;Obrona narodowa;2;63-752;63;0.0 MLN;Obrona narodowa 0.0 MLN;RODZINA;Obrona narodowa
63;752;75212;Pozostałe wydatki obronne;2;63-752-75212;63-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;RODZINA;Obrona narodowa
63;852;;Pomoc społeczna;4650;63-852;63;4.7 MLN;Pomoc społeczna 4.7 MLN;RODZINA;Pomoc społeczna
63;852;85295;Pozostała działalność;4650;63-852-85295;63-852;4.7 MLN;Pozostała działalność 4.7 MLN;RODZINA;Pomoc społeczna
63;855;;Rodzina;8941;63-855;63;8.9 MLN;Rodzina 8.9 MLN;RODZINA;Rodzina
63;855;85501;Świadczenie wychowawcze;100;63-855-85501;63-855;0.1 MLN;Świadczenie wychowawcze 0.1 MLN;RODZINA;Rodzina
63;855;85503;Karta Dużej Rodziny;5250;63-855-85503;63-855;5.2 MLN;Karta Dużej Rodziny 5.2 MLN;RODZINA;Rodzina
63;855;85508;Rodziny zastępcze;1100;63-855-85508;63-855;1.1 MLN;Rodziny zastępcze 1.1 MLN;RODZINA;Rodzina
63;855;85516;System opieki nad dziećmi w wieku do lat 3;2091;63-855-85516;63-855;2.1 MLN;System opieki nad dziećmi w wieku do lat 3 2.1 MLN;RODZINA;Rodzina
63;855;85595;Pozostała działalność;400;63-855-85595;63-855;0.4 MLN;Pozostała działalność 0.4 MLN;RODZINA;Rodzina
64;;;GŁÓWNY URZĄD MIAR;188519;64;total;188.5 MLN;GŁÓWNY URZĄD MIAR 188.5 MLN;GŁÓWNY URZĄD MIAR;GŁÓWNY URZĄD MIAR
64;730;;Szkolnictwo wyższe i nauka;1379;64-730;64;1.4 MLN;Szkolnictwo wyższe i nauka 1.4 MLN;GŁÓWNY URZĄD MIAR;Szkolnictwo wyższe i nauka
64;730;73095;Pozostała działalność;1379;64-730-73095;64-730;1.4 MLN;Pozostała działalność 1.4 MLN;GŁÓWNY URZĄD MIAR;Szkolnictwo wyższe i nauka
64;750;;Administracja publiczna;187135;64-750;64;187.1 MLN;Administracja publiczna 187.1 MLN;GŁÓWNY URZĄD MIAR;Administracja publiczna
64;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;59425;64-750-75001;64-750;59.4 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 59.4 MLN;GŁÓWNY URZĄD MIAR;Administracja publiczna
64;750;75007;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej;127710;64-750-75007;64-750;127.7 MLN;Jednostki terenowe podległe naczelnym i centralnym organom administracji rządowej 127.7 MLN;GŁÓWNY URZĄD MIAR;Administracja publiczna
64;752;;Obrona narodowa;5;64-752;64;0.0 MLN;Obrona narodowa 0.0 MLN;GŁÓWNY URZĄD MIAR;Obrona narodowa
64;752;75212;Pozostałe wydatki obronne;5;64-752-75212;64-752;0.0 MLN;Pozostałe wydatki obronne 0.0 MLN;GŁÓWNY URZĄD MIAR;Obrona narodowa
65;;;POLSKI KOMITET NORMALIZACYJNY;40864;65;total;40.9 MLN;POLSKI KOMITET NORMALIZACYJNY 40.9 MLN;POLSKI KOMITET NORMALIZACYJNY;POLSKI KOMITET NORMALIZACYJNY
65;750;;Administracja publiczna;40864;65-750;65;40.9 MLN;Administracja publiczna 40.9 MLN;POLSKI KOMITET NORMALIZACYJNY;Administracja publiczna
65;750;75002;Polski Komitet Normalizacyjny;40864;65-750-75002;65-750;40.9 MLN;Polski Komitet Normalizacyjny 40.9 MLN;POLSKI KOMITET NORMALIZACYJNY;Administracja publiczna
66;;;RZECZNIK PRAW PACJENTA;17643;66;total;17.6 MLN;RZECZNIK PRAW PACJENTA 17.6 MLN;RZECZNIK PRAW PACJENTA;RZECZNIK PRAW PACJENTA
66;750;;Administracja publiczna;17643;66-750;66;17.6 MLN;Administracja publiczna 17.6 MLN;RZECZNIK PRAW PACJENTA;Administracja publiczna
66;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;17261;66-750-75001;66-750;17.3 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 17.3 MLN;RZECZNIK PRAW PACJENTA;Administracja publiczna
66;750;75095;Pozostała działalność;382;66-750-75095;66-750;0.4 MLN;Pozostała działalność 0.4 MLN;RZECZNIK PRAW PACJENTA;Administracja publiczna
67;;;POLSKA AKADEMIA NAUK;110894;67;total;110.9 MLN;POLSKA AKADEMIA NAUK 110.9 MLN;POLSKA AKADEMIA NAUK;POLSKA AKADEMIA NAUK
67;730;;Szkolnictwo wyższe i nauka;110894;67-730;67;110.9 MLN;Szkolnictwo wyższe i nauka 110.9 MLN;POLSKA AKADEMIA NAUK;Szkolnictwo wyższe i nauka
67;730;73010;Działalność organów i korporacji uczonych Polskiej Akademii Nauk;18185;67-730-73010;67-730;18.2 MLN;Działalność organów i korporacji uczonych Polskiej Akademii Nauk 18.2 MLN;POLSKA AKADEMIA NAUK;Szkolnictwo wyższe i nauka
67;730;73011;Działalność pomocniczych jednostek naukowych i innych jednostek organizacyjnych Polskiej Akademii Nauk;41962;67-730-73011;67-730;42.0 MLN;Działalność pomocniczych jednostek naukowych i innych jednostek organizacyjnych Polskiej Akademii Nauk 42.0 MLN;POLSKA AKADEMIA NAUK;Szkolnictwo wyższe i nauka
67;730;73095;Pozostała działalność;50747;67-730-73095;67-730;50.7 MLN;Pozostała działalność 50.7 MLN;POLSKA AKADEMIA NAUK;Szkolnictwo wyższe i nauka
68;;;PAŃSTWOWA AGENCJA ATOMISTYKI;47744;68;total;47.7 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI 47.7 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;PAŃSTWOWA AGENCJA ATOMISTYKI
68;150;;Przetwórstwo przemysłowe;25611;68-150;68;25.6 MLN;Przetwórstwo przemysłowe 25.6 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;Przetwórstwo przemysłowe
68;150;15021;Program polskiej energetyki jądrowej;25498;68-150-15021;68-150;25.5 MLN;Program polskiej energetyki jądrowej 25.5 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;Przetwórstwo przemysłowe
68;150;15095;Pozostała działalność;113;68-150-15095;68-150;0.1 MLN;Pozostała działalność 0.1 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;Przetwórstwo przemysłowe
68;750;;Administracja publiczna;22133;68-750;68;22.1 MLN;Administracja publiczna 22.1 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;Administracja publiczna
68;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;22133;68-750-75001;68-750;22.1 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 22.1 MLN;PAŃSTWOWA AGENCJA ATOMISTYKI;Administracja publiczna
69;;;ŻEGLUGA ŚRÓDLĄDOWA;33294;69;total;33.3 MLN;ŻEGLUGA ŚRÓDLĄDOWA 33.3 MLN;ŻEGLUGA ŚRÓDLĄDOWA;ŻEGLUGA ŚRÓDLĄDOWA
69;600;;Transport i łączność;17499;69-600;69;17.5 MLN;Transport i łączność 17.5 MLN;ŻEGLUGA ŚRÓDLĄDOWA;Transport i łączność
69;600;60042;Urzędy żeglugi śródlądowej;17069;69-600-60042;69-600;17.1 MLN;Urzędy żeglugi śródlądowej 17.1 MLN;ŻEGLUGA ŚRÓDLĄDOWA;Transport i łączność
69;600;60095;Pozostała działalność;430;69-600-60095;69-600;0.4 MLN;Pozostała działalność 0.4 MLN;ŻEGLUGA ŚRÓDLĄDOWA;Transport i łączność
69;750;;Administracja publiczna;8389;69-750;69;8.4 MLN;Administracja publiczna 8.4 MLN;ŻEGLUGA ŚRÓDLĄDOWA;Administracja publiczna
69;750;75001;Urzędy naczelnych i centralnych organów administracji rządowej;8389;69-750-75001;69-750;8.4 MLN;Urzędy naczelnych i centralnych organów administracji rządowej 8.4 MLN;ŻEGLUGA ŚRÓDLĄDOWA;Administracja publiczna
